"architecture","adaptivity","estimator","n_replications","mean_truth","mean_estimate","bias","empirical_sd","mcse_mean","mean_model_se","model_se_ratio","mean_observed_rate","coverage","coverage_mcse","sign_error","rejection","power","mean_df"
"spaced",1,"marginal",400,0.284695077678442,-0.17299331682005,-0.457688394498492,0.0490764884278961,0.00245382442139481,0.0446999419714119,0.910821931301905,NA,0,0,1,NA,NA,25.5337318905153
"spaced",1,"oracle_state",400,0.284695077678442,0.283797442932922,-0.000897634745519849,0.0802673991523387,0.00401336995761694,0.0785534856422879,0.978647451790509,NA,0.945,0.011399013115178,0,NA,NA,28.0894487997414
"spaced",1,"policy_log",400,0.284695077678442,0.284920640162729,0.000225562484287073,0.102581140541762,0.0051290570270881,0.0982228078653837,0.957513314305528,NA,0.9425,0.0116397755562554,0.005,NA,NA,28.3388852099924
"spaced",1,"recorded_belief",400,0.284695077678442,0.284836432638814,0.000141354960372092,0.0974014188359336,0.00487007094179668,0.0914161399552961,0.93855039328822,NA,0.945,0.011399013115178,0,NA,NA,28.2772269934686
"tutor",0,"marginal",400,0.278466411449061,0.237436981316771,-0.0410294301322903,0.0576988028749497,0.00288494014374749,0.0590095263679639,1.02271664969991,NA,0.905,0.0146607469113957,0,NA,NA,27.865081570455
"tutor",0,"oracle_state",400,0.278466411449061,0.279220845514439,0.000754434065377993,0.0642848041129092,0.00321424020564546,0.0643724246854706,1.00136300598206,NA,0.95,0.0108972473588517,0,NA,NA,25.9314779350552
"tutor",0,"policy_log",400,0.278466411449061,0.278939299471944,0.000472888022882673,0.0682373005868543,0.00341186502934271,0.0687739340503946,1.00786422468247,NA,0.965,0.00918898797474456,0,NA,NA,25.9995304618119
"tutor",0,"reconstructed_history",400,0.278466411449061,0.278030985234619,-0.000435426214441485,0.0639001402731914,0.00319500701365957,0.0641646228002965,1.00413899759804,NA,0.9475,0.0111516534648455,0,NA,NA,26.0313793992254
"tutor",0,"recorded_belief",400,0.278466411449061,0.277552242253361,-0.000914169195699922,0.0639392437482443,0.00319696218741221,0.0641809980540917,1.00378100039468,NA,0.9525,0.0106352891357029,0,NA,NA,26.0203166854473
"tutor",0.4,"marginal",400,0.473066712093314,-0.261561926137682,-0.734628638230996,0.0989617830086097,0.00494808915043049,0.0780947275619045,0.789140263925016,NA,0,0,1,NA,NA,21.2895982691165
"tutor",0.4,"oracle_state",400,0.473066712093314,0.478371412339451,0.00530470024613727,0.103749039192469,0.00518745195962347,0.10052952137048,0.968968215541578,NA,0.94,0.0118743420870379,0,NA,NA,27.1673500517415
"tutor",0.4,"policy_log",400,0.473066712093314,0.477109806289156,0.00404309419584181,0.116798354047273,0.00583991770236366,0.11004566730178,0.94218508642031,NA,0.935,0.012326293035621,0,NA,NA,27.1992125897388
"tutor",0.4,"reconstructed_history",400,0.473066712093314,0.419454836967443,-0.0536118751258706,0.099011444314669,0.00495057221573345,0.0976444156899708,0.986193226104715,NA,0.9175,0.0137562485801908,0,NA,NA,27.1583375871255
"tutor",0.4,"recorded_belief",400,0.473066712093314,0.474065697065059,0.000998984971745397,0.104003954115651,0.00520019770578256,0.102844129998015,0.988848269015363,NA,0.955,0.0103652062208139,0,NA,NA,27.2164059856388
"tutor",0.7,"marginal",1000,0.738662733538098,-0.143793727378368,-0.882456460916465,0.0735951289509891,0.00232728232178924,0.0659487137446915,0.896101612765843,NA,0,0,0.974,NA,NA,18.0981075603345
"tutor",0.7,"oracle_state",1000,0.738662733538098,0.735192066788157,-0.00347066674994035,0.154311835640083,0.00487976870544208,0.143319145945415,0.928763146073212,NA,0.949,0.00695693898205238,0,NA,NA,27.5857031148122
