"architecture","adaptivity","replication","prediction","outcome_rate","plan_actual_corr","action_state_corr","estimator","truth","estimate","se","df","covered","sign_error","converged"
"spaced",1,135,-0.171134935284294,0.104166666666667,0.901335360094644,0.832378327851195,"policy_log",0.286934757197386,0.155241596385553,0.101157692864292,28.3759313439346,"true","false","true"
"spaced",1,135,-0.171134935284294,0.104166666666667,0.901335360094644,0.832378327851195,"oracle_state",0.286934757197386,0.179732474257068,0.0857123909343809,28.1661543804833,"true","false","true"
"spaced",1,136,-0.194608932522649,0.0995,0.909283843350194,0.841562005033202,"marginal",0.302217944074696,-0.194653612946861,0.0394783902983515,22.3343604253142,"false","true","true"
"spaced",1,136,-0.194608932522649,0.0995,0.909283843350194,0.841562005033202,"recorded_belief",0.302217944074696,0.455319030922198,0.0769625453263875,28.3426509106817,"true","false","true"
"spaced",1,136,-0.194608932522649,0.0995,0.909283843350194,0.841562005033202,"policy_log",0.302217944074696,0.421524693407882,0.090283802839959,28.3190249990071,"true","false","true"
"spaced",1,136,-0.194608932522649,0.0995,0.909283843350194,0.841562005033202,"oracle_state",0.302217944074696,0.395830407303569,0.0553305604702407,27.92271714741,"true","false","true"
"spaced",1,137,-0.205944556245731,0.0991666666666667,0.918308326477828,0.854808602054381,"marginal",0.314270433292777,-0.175480439048678,0.0615033265535512,22.5783196225253,"false","true","true"
"spaced",1,137,-0.205944556245731,0.0991666666666667,0.918308326477828,0.854808602054381,"recorded_belief",0.314270433292777,0.398431834685431,0.107866333511963,28.4387450506249,"true","false","true"
"spaced",1,137,-0.205944556245731,0.0991666666666667,0.918308326477828,0.854808602054381,"policy_log",0.314270433292777,0.364364112517883,0.112502995251736,28.5029748207039,"true","false","true"
"spaced",1,137,-0.205944556245731,0.0991666666666667,0.918308326477828,0.854808602054381,"oracle_state",0.314270433292777,0.466017960387226,0.085409278518245,27.9960103278937,"true","false","true"
"spaced",1,138,-0.142567544033583,0.105,0.884997112156603,0.811146513548088,"marginal",0.270499353572782,-0.096915787670193,0.0492400834510447,26.199049956772,"false","true","true"
"spaced",1,138,-0.142567544033583,0.105,0.884997112156603,0.811146513548088,"recorded_belief",0.270499353572782,0.242786042152837,0.0981346460327332,28.5501805233856,"true","false","true"
"spaced",1,138,-0.142567544033583,0.105,0.884997112156603,0.811146513548088,"policy_log",0.270499353572782,0.260108859940261,0.113841667315052,28.4931820950697,"true","false","true"
"spaced",1,138,-0.142567544033583,0.105,0.884997112156603,0.811146513548088,"oracle_state",0.270499353572782,0.227099937728573,0.0868348783485346,28.5202186647544,"true","false","true"
"spaced",1,139,-0.182158131821599,0.096,0.903629146241229,0.83353686725104,"marginal",0.296514679836456,-0.23964700305824,0.0394586410608282,25.009467471228,"false","true","true"
