architecture,n_people,compliance,replication,truth,estimate,se,df,covered,detected
spaced,30,0.7,124,0.010104485947506871,0.003299414373670507,0.007981336446786808,28.99970189898901,true,false
spaced,30,0.7,125,0.00948727395973798,0.003979461047384143,0.006830531214710284,28.999709712833113,true,false
spaced,30,0.7,126,0.009965675852296513,0.022100259107877794,0.006972518654217222,28.999868107935253,true,true
spaced,30,0.7,127,0.010400480729780049,0.0020720304079635296,0.008821448946541518,28.99983490393292,true,false
spaced,30,0.7,128,0.009762874058447384,0.016993389901216346,0.009084409441776192,28.999836578838373,true,false
spaced,30,0.7,129,0.009912603759096117,0.012475374202900201,0.006124763973718289,28.998933295518814,true,false
spaced,30,0.7,130,0.01029228528941704,0.0012086138246402269,0.0072017979420830845,28.99915142476518,true,false
spaced,30,0.7,131,0.010086970889107313,0.004094523589072776,0.008294150308226063,28.99970722608879,true,false
spaced,30,0.7,132,0.009978490232439444,0.0261937887085483,0.0065908716839230535,28.999927170058477,false,true
spaced,30,0.7,133,0.009650044344715291,0.01616317732758309,0.008488848464890461,28.999698865617184,true,false
spaced,30,0.7,134,0.0097740413207576,0.004633075100668734,0.007143333970374675,28.998910729660814,true,false
spaced,30,0.7,135,0.01023737600703105,0.017348199906201015,0.011619924263826763,28.999286282580083,true,false
spaced,30,0.7,136,0.010087512733755931,0.019438647405184393,0.00752738721514071,28.999833458920964,true,true
spaced,30,0.7,137,0.01017364651394539,0.020890141037432853,0.009633253874049341,28.999776554040526,true,true
spaced,30,0.7,138,0.009857237981071496,0.015729909126855082,0.007747521190537194,28.99964920577822,true,false
spaced,30,0.7,139,0.009229643423874207,0.012837412631001473,0.008028801899646434,28.99987300966677,true,false
spaced,30,0.7,140,0.010200523597202818,0.013713236452340058,0.008497984205530043,28.99959235105374,true,false
spaced,30,0.7,141,0.00957443515422624,0.01551561606283018,0.008798911187029083,28.999744070603843,true,false
spaced,30,0.7,142,0.010213282420871042,0.0153831354812184,0.008696000387758116,28.99965014675912,true,false
spaced,30,0.7,143,0.009981636900688314,0.00791628329537582,0.008165949468471673,28.999452511174916,true,false
spaced,30,0.7,144,0.010389952197956003,0.01914828099925588,0.008850773456140614,28.999827562959585,true,true
spaced,30,0.7,145,0.010021420557273208,0.010271700124462334,0.007056821243631451,28.999594456347733,true,false
spaced,30,0.7,146,0.009918850987392324,0.01735597390398113,0.009214002824680734,28.99988778054062,true,false
spaced,30,0.7,147,0.009675832611005167,0.008734546352139985,0.007652852202662213,28.999618761984106,true,false
spaced,30,0.7,148,0.009876803383466318,0.012036285619705378,0.008183569346420904,28.999775196404585,true,false
spaced,30,0.7,149,0.009968568320349773,-0.00414234611441474,0.007294841048617034,28.999335214205573,true,false
spaced,30,0.7,150,0.009597550807890685,-0.011349271887900858,0.0071191165197307974,28.99972879567811,false,false
spaced,30,0.7,151,0.009258486823194457,0.012234232434778211,0.007109052679998554,28.999724238571584,true,false
spaced,30,0.7,152,0.00988256487490502,0.014106701479702836,0.008797230630091869,28.999192707067458,true,false
spaced,30,0.7,153,0.009742642853988246,0.011753470651268891,0.008596386295612346,28.99962571267915,true,false
spaced,30,0.7,154,0.009871572143856198,0.012706940370162541,0.007884724227190233,28.999921030303444,true,false
spaced,30,0.7,155,0.010187321696560028,0.011680472656671532,0.008199215751897347,28.999630773294236,true,false
spaced,30,0.7,156,0.009245587542297368,0.006343741262655846,0.008299077558183151,28.999460229498936,true,false
spaced,30,0.7,157,0.010193052029149875,0.0020012649144861647,0.009650571437297428,28.998957544659962,true,false
spaced,30,0.7,158,0.00975097144414543,0.028202629693542012,0.008649446744461504,28.999595958569508,false,true
spaced,30,0.7,159,0.009809466025078825,0.003658839421234665,0.00700993592839354,28.999162490043727,true,false
spaced,30,0.7,160,0.009875941016494085,0.0029205729276256857,0.01028926658928432,28.999839650642254,true,false
spaced,30,0.7,161,0.009193734511774845,-0.0014295706564204473,0.008881885137622765,28.99981256377804,true,false
spaced,30,0.7,162,0.00968465481345316,0.024117188143237503,0.007618995294513791,28.999850913247545,true,true
spaced,30,0.7,163,0.00998841408137592,0.0030301258983427034,0.009950018547808429,28.99936363990173,true,false
spaced,30,0.7,164,0.009792243949022518,0.009808921237653001,0.007653276370548367,28.999312746300497,true,false
spaced,30,0.7,165,0.010009160373682735,0.0036840067369338955,0.00788520499908762,28.99962176786292,true,false
spaced,30,0.7,166,0.009636343184151682,0.026916389252340765,0.006096978221403009,28.999264053612233,false,true
spaced,30,0.7,167,0.009474209751096791,-0.00422320608655942,0.007568859477582603,28.998829091801817,true,false
spaced,30,0.7,168,0.008814699495436748,0.016782390183630126,0.006696314371237824,28.999225308824496,true,true
spaced,30,0.7,169,0.009714104557563516,0.0032189086002219433,0.00904147578588918,28.99976555286276,true,false
spaced,30,0.7,170,0.009519126341566772,0.003299008064117976,0.0082201769132117,28.999688953459557,true,false
spaced,30,0.7,171,0.009294166864544252,0.010969256008937365,0.007576568243683146,28.99955425090149,true,false
spaced,30,0.7,172,0.009569760965834253,0.0018433846494711494,0.007437880923073957,28.999482515472007,true,false
spaced,30,0.7,173,0.010307075849547983,0.007697949618134831,0.007213719668461384,28.99953268618363,true,false
spaced,30,0.7,174,0.010000760814790946,0.01182694508170132,0.006624533307299347,28.999697658147376,true,false
spaced,30,0.7,175,0.009600829390371154,0.016944354729241547,0.007614738695737979,28.9998541122316,true,true
spaced,30,0.7,176,0.009887163937653072,0.027668760649296995,0.008194513903030911,28.99887356669008,false,true
spaced,30,0.7,177,0.009704149387476642,0.006449974063466304,0.00997758010809005,28.99967964258723,true,false
spaced,30,0.7,178,0.009953719588034607,0.010081816048626971,0.007088995521177685,28.999555690097527,true,false
spaced,30,0.7,179,0.009668694889353097,0.0036664310838393143,0.006739285330000529,28.999766717367123,true,false
spaced,30,0.7,180,0.010080014031312085,0.01706127702583246,0.007974228058753483,28.999673918580765,true,true
spaced,30,0.7,181,0.010002959776477876,0.017321572090284093,0.009200662327893842,28.999596501685968,true,false
spaced,30,0.7,182,0.010448679902154593,-0.008596085783604998,0.010377274798776924,28.999744701180596,true,false
spaced,30,0.7,183,0.010019404502705246,0.020220724058122943,0.006488637889384332,28.998610443058535,true,true
spaced,30,0.7,184,0.009887176262291325,0.01120441040109189,0.007654389999514489,28.99966465961826,true,false
spaced,30,0.7,185,0.009891950642367977,0.00702511061201065,0.010183526485427117,28.9996970516704,true,false
spaced,30,0.7,186,0.009966810737758328,-0.003188215162460585,0.00859121864164038,28.999156512214586,true,false
spaced,30,0.7,187,0.009737005706263265,0.014282108435944452,0.008121591000934531,28.99933389363413,true,false
spaced,30,0.7,188,0.009826592978859912,0.011607302918741532,0.008148989663650979,28.999577553140952,true,false
spaced,30,0.7,189,0.010415168835063163,0.018520332799231737,0.008433322314410364,28.99972010303035,true,true
spaced,30,0.7,190,0.010377744172339068,0.016184078685836222,0.007879647807139605,28.999295732165024,true,true
spaced,30,0.7,191,0.0099622067857994,0.0039850865713720145,0.006086939279446105,28.999623390010605,true,false
spaced,30,0.7,192,0.00970284317583006,0.013964402968737105,0.00972009475665621,28.999799535591535,true,false
