architecture,mechanism,adaptivity,context_strength,observation_strength,replication,parameter,truth,estimate,se,covered,observed_rate
spaced,clean,0.0,0.0,0.0,20,previous_failure,0.35,0.33441376436929715,0.16367281818130427,true,1.0
spaced,clean,0.0,0.0,0.0,20,retention,0.75,0.9044861500966199,0.0554485984221136,false,1.0
spaced,clean,0.0,0.0,0.0,21,delay_slope,0.25,0.37265129619449827,0.06105304184160816,false,1.0
spaced,clean,0.0,0.0,0.0,21,state_slope,-0.55,-0.6524750334427055,0.08615372855185115,true,1.0
spaced,clean,0.0,0.0,0.0,21,previous_failure,0.35,0.08695264180055802,0.1731984661597444,true,1.0
spaced,clean,0.0,0.0,0.0,21,retention,0.75,0.7069348545819472,0.06640127650192545,true,1.0
spaced,clean,0.0,0.0,0.0,22,delay_slope,0.25,0.1869262316610631,0.066012152868761,true,1.0
spaced,clean,0.0,0.0,0.0,22,state_slope,-0.55,-0.5730990220293575,0.08908735001508504,true,1.0
spaced,clean,0.0,0.0,0.0,22,previous_failure,0.35,0.3673962984204744,0.16632493958621158,true,1.0
spaced,clean,0.0,0.0,0.0,22,retention,0.75,0.754916816706389,0.07217894160070969,true,1.0
spaced,clean,0.0,0.0,0.0,23,delay_slope,0.25,0.16606371193065408,0.06350656037153679,true,1.0
spaced,clean,0.0,0.0,0.0,23,state_slope,-0.55,-0.5306340680182013,0.08223750813588426,true,1.0
spaced,clean,0.0,0.0,0.0,23,previous_failure,0.35,0.2885789620503897,0.1649941229294175,true,1.0
spaced,clean,0.0,0.0,0.0,23,retention,0.75,0.6809866250952605,0.08013476957608481,true,1.0
spaced,clean,0.0,0.0,0.0,24,delay_slope,0.25,0.33965062561931064,0.06377747375616302,true,1.0
spaced,clean,0.0,0.0,0.0,24,state_slope,-0.55,-0.41814761070393536,0.07846961448981628,true,1.0
spaced,clean,0.0,0.0,0.0,24,previous_failure,0.35,0.38833130412521466,0.16254987879517632,true,1.0
spaced,clean,0.0,0.0,0.0,24,retention,0.75,0.864895521967345,0.07063770395513574,true,1.0
spaced,clean,0.0,0.0,0.0,25,delay_slope,0.25,0.3088415674193494,0.06867322044757436,true,1.0
spaced,clean,0.0,0.0,0.0,25,state_slope,-0.55,-0.5627062305400387,0.09038537945031538,true,1.0
