"n_participants","adaptivity","state_reliability","estimator","n_replications","mean_estimate","mean_truth","bias","absolute_bias","rmse","coverage_95","sign_error_rate","convergence_rate","monte_carlo_se_bias","mean_failure_rate","mean_planned_actual_spearman"
30,0,0.5,"oracle",200,0.13866518271873,0.138144836265902,0.000520346452827693,0.0368234963427437,0.0452708790353318,0.91,0,1,0.00320895553398592,0.102510833333333,0.399085049236529
30,0,0.8,"naive",200,0.0683432569482337,0.138164536291845,-0.0698212793436108,0.0743420073423372,0.0846632341236949,0.605,0.04,1,0.00339438804003858,0.101681666666667,0.397004131427337
30,0,0.8,"history",200,0.134128526566024,0.138164536291845,-0.00403600972582028,0.0371291641953442,0.0480444224407406,0.925,0.01,1,0.00339374028638674,0.101681666666667,0.397004131427337
30,0,0.8,"schedule_conditioned",200,0.134935821196369,0.138164536291845,-0.00322871509547579,0.0402320070554258,0.0520972741521919,0.905,0.015,1,0.0036859787112657,0.101681666666667,0.397004131427337
30,0,0.8,"oracle",200,0.134566909082572,0.138164536291845,-0.00359762720927298,0.0373088262356064,0.0480213914286529,0.935,0.015,1,0.00339457971229882,0.101681666666667,0.397004131427337
30,0.4,0.5,"naive",200,-0.171050618219111,0.171460374943086,-0.342510993162198,0.342510993162198,0.346489031588312,0,1,1,0.00371122741351547,0.100648333333333,0.653675470920152
30,0.4,0.5,"history",200,-0.0010679379006986,0.171460374943086,-0.172528312843785,0.172528312843785,0.180205260553872,0.075,0.475,1,0.00368885132709308,0.100648333333333,0.653675470920152
30,0.4,0.5,"schedule_conditioned",200,0.170644136006413,0.171460374943086,-0.000816238936673944,0.0432738379122606,0.0553606869206371,0.96,0,1,0.00392398846570812,0.100648333333333,0.653675470920152
30,0.4,0.5,"oracle",200,0.173361649722258,0.171460374943086,0.00190127477917168,0.0407715796036577,0.0505144008570185,0.965,0,1,0.00357833363435861,0.100648333333333,0.653675470920152
30,0.4,0.8,"naive",200,-0.174619060511546,0.171679860967401,-0.346298921478947,0.346298921478947,0.35040642851424,0,1,1,0.00379216471149557,0.10003,0.656156669206296
30,0.4,0.8,"history",200,0.0894333357701032,0.171679860967401,-0.0822465251972978,0.0853873660373516,0.0996672680020558,0.585,0.04,1,0.00399061298295362,0.10003,0.656156669206296
30,0.4,0.8,"schedule_conditioned",200,0.171164949318894,0.171679860967401,-0.000514911648507375,0.0486130601136813,0.062232058291239,0.935,0.01,1,0.00441136263839521,0.10003,0.656156669206296
