study,replication,n_participants,n_items,n_stages,perturbation_log_days,perturbation_compliance,context_strength,estimator,truth,estimate,standard_error,normal_ci_low,normal_ci_high,participant_t_ci_low,participant_t_ci_high,converged,bias,squared_error,normal_covered,participant_t_covered,normal_detected_positive,participant_t_detected_positive,failure_rate,planned_actual_spearman,lpm_estimate,lpm_standard_error,absolute_estimate_difference,absolute_standard_error_difference
micro_randomized_wcls,10,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004699691022647002,0.006693648816935161,0.012825464857346428,-0.018444262303463837,0.03183155993733416,-0.021535009005361143,0.03492230663923147,true,0.001993957794288159,3.9758676854025e-6,true,true,false,false,0.09416666666666666,0.7066218544482387,0.006693648816942766,0.012825464857345953,7.605027718682322e-15,4.753142324176451e-16
micro_randomized_wcls,10,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004699691022647002,0.005373870919813082,0.012609052281900941,-0.019339871552712763,0.030087613392338928,-0.02237846603547049,0.03312620787509665,true,0.0006741798971660797,4.5451853374286584e-7,true,true,false,false,0.09416666666666666,0.7066218544482387,0.005373870919820741,0.012609052281900554,7.658804146437603e-15,3.86843335142828e-16
micro_randomized_wcls,11,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004859109387363818,0.006366533084089113,0.011030440044987027,-0.015253129404085458,0.027986195572263686,-0.017911301764207875,0.030644367932386098,true,0.0015074236967252954,2.2723262014489553e-6,true,true,false,false,0.11041666666666666,0.7376785864025324,0.006366533084098058,0.011030440044986736,8.945101603874406e-15,2.914335439641036e-16
micro_randomized_wcls,11,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004859109387363818,0.004135058222385646,0.01082429048375363,-0.01708055112577147,0.02535066757054276,-0.01968904450087723,0.02795916094564852,true,-0.0007240511649781716,5.242500895062475e-7,true,true,false,false,0.11041666666666666,0.7376785864025324,0.004135058222394552,0.010824290483753302,8.906070325664928e-15,3.2786273695961654e-16
micro_randomized_wcls,12,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004788120609478458,0.004058217891229519,0.012532980728350454,-0.02050642433633737,0.02862286011879641,-0.023526686703584317,0.031643122486043354,true,-0.0007299027182489388,5.327579781071897e-7,true,true,false,false,0.12166666666666667,0.7788584754962631,0.004058217891239521,0.012532980728350117,1.0001548200744281e-14,3.365363543395006e-16
micro_randomized_wcls,12,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004788120609478458,0.0021416703854611092,0.012307892733708766,-0.021981799372608073,0.02626514014353029,-0.024947818873431588,0.029231159644353806,true,-0.002646450224017349,7.003698788201476e-6,true,true,false,false,0.12166666666666667,0.7788584754962631,0.0021416703854710882,0.012307892733708383,9.978996795556583e-15,3.8337388819087437e-16
micro_randomized_wcls,13,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.0050613504958103945,0.006378472724037348,0.01438161316891786,-0.02180948908704166,0.034566434535116354,-0.02527524443892934,0.038032189887004034,true,0.0013171222282269534,1.7348109640895346e-6,true,true,false,false,0.11875,0.7144093323627313,0.006378472724046976,0.014381613168917498,9.62771529167128e-15,3.625572064791527e-16
micro_randomized_wcls,13,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.0050613504958103945,0.00452198135251701,0.013507470002209766,-0.021952659851814132,0.030996622556848152,-0.02520775967272965,0.034251722377763666,true,-0.0005393691432933846,2.909190727370396e-7,true,true,false,false,0.11875,0.7144093323627313,0.004521981352526621,0.013507470002209069,9.6112354186495e-15,6.973588373426765e-16
micro_randomized_wcls,14,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004695038593071528,0.012330613801200905,0.016079742038326465,-0.019185680593918963,0.04384690819632077,-0.02306065980325731,0.04772188740565912,true,0.007635575208129377,5.830200875899998e-5,true,true,false,false,0.1075,0.737286216542746,0.012330613801209372,0.016079742038325507,8.467185286242795e-15,9.575673587391975e-16
micro_randomized_wcls,14,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004695038593071528,0.012529065762729228,0.01583497639217786,-0.01850748796593938,0.04356561949139783,-0.02232348228685567,0.04738161381231412,true,0.0078340271696577,6.137198169493502e-5,true,true,false,false,0.1075,0.737286216542746,0.0125290657627374,0.01583497639217705,8.172282295326738e-15,8.118505867571457e-16
micro_randomized_wcls,15,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004852840802564215,0.004236687771390501,0.012486156387913588,-0.020236178748920135,0.028709554291701134,-0.023245157144990716,0.031718532687771715,true,-0.0006161530311737141,3.7964455782455597e-7,true,true,false,false,0.10416666666666667,0.7485236247436848,0.004236687771398992,0.012486156387913224,8.490604053168482e-15,3.642919299551295e-16
micro_randomized_wcls,15,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004852840802564215,0.0062372497879064105,0.013011219373192622,-0.019264740183551128,0.03173923975936395,-0.022400250967187372,0.034874750543000196,true,0.0013844089853421952,1.9165882386962063e-6,true,true,false,false,0.10416666666666667,0.7485236247436848,0.006237249787914813,0.013011219373192018,8.402133155893665e-15,6.036837696399289e-16
micro_randomized_wcls,16,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004775679913549356,-0.0011092503981701308,0.014832098021908045,-0.030180162521109898,0.027961661724769635,-0.03375447803741427,0.031535977241074015,true,-0.005884930311719486,3.463240477379481e-5,true,true,false,false,0.10791666666666666,0.729717144916171,-0.0011092503981610848,0.01483209802190783,9.045932405915558e-15,2.1510571102112408e-16
micro_randomized_wcls,16,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004775679913549356,-0.0013959727970718771,0.014720728791851328,-0.030248601229100478,0.027456655634956726,-0.033796078413670355,0.031004132819526603,true,-0.0061716527106212326,3.808929718051841e-5,true,true,false,false,0.10791666666666666,0.729717144916171,-0.0013959727970629119,0.014720728791850974,8.965267764282636e-15,3.5388358909926865e-16
micro_randomized_wcls,17,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004785797621207759,0.027931586071115996,0.013667463040746588,0.0011433585112526831,0.05471981363097931,-0.0021502972576681774,0.05801346939990017,true,0.023145788449908236,0.0005357275229679055,true,true,true,false,0.10875,0.7183663860011087,0.027931586071123986,0.013667463040746017,7.990136330349173e-15,5.707240235963695e-16
micro_randomized_wcls,17,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004785797621207759,0.029972691107213782,0.013141633530774636,0.0042150893868954965,0.05573029282753207,0.001048150726616133,0.05889723148781143,true,0.025186893486006022,0.0006343796034754126,true,true,true,true,0.10875,0.7183663860011087,0.029972691107221547,0.013141633530773923,7.764622278472189e-15,7.129713486264677e-16
micro_randomized_wcls,18,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004679495595944127,0.01924931426141374,0.014244785296638496,-0.00867046491999771,0.04716909344282519,-0.012103246785179149,0.05060187530800663,true,0.014569818665469615,0.0002122796159446668,true,true,false,false,0.11708333333333333,0.7391574191245519,0.01924931426142274,0.014244785296637866,8.999745393367675e-15,6.29704621779581e-16
micro_randomized_wcls,18,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004679495595944127,0.019195745214434793,0.014159418670974894,-0.008556715380675997,0.04694820580954558,-0.011968925155905412,0.050360415584775,true,0.014516249618490667,0.00021072150298633043,true,true,false,false,0.11708333333333333,0.7391574191245519,0.019195745214443678,0.014159418670974313,8.885253643953206e-15,5.811323644522304e-16
micro_randomized_wcls,19,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004595404208999058,-0.0091574315277173,0.012577010199361456,-0.03380837151846575,0.015493508463031153,-0.036839244334833036,0.018524381279398434,true,-0.013752835736716356,0.00018914049080110253,true,true,false,false,0.10375,0.7400660998378645,-0.00915743152770828,0.012577010199360947,9.01882735160342e-15,5.082739784612045e-16
micro_randomized_wcls,19,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004595404208999058,-0.007875410598144386,0.012437345690505428,-0.03225260815153502,0.016501786955246255,-0.03524982389387652,0.019499002697587746,true,-0.012470814807143443,0.00015552122195406813,true,true,false,false,0.10375,0.7400660998378645,-0.007875410598135645,0.012437345690504979,8.741271595447131e-15,4.49293380277993e-16
micro_randomized_wcls,20,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004806739821431686,0.008281665559664338,0.011669769963653582,-0.014591083569096682,0.031154414688425357,-0.01740332495202033,0.03396665607134901,true,0.0034749257382326523,1.2075108886231744e-5,true,true,false,false,0.11666666666666667,0.7246258827475491,0.008281665559673723,0.011669769963652732,9.384854005034526e-15,8.500145032286355e-16
micro_randomized_wcls,20,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004806739821431686,0.010202008355628601,0.011520174755961315,-0.012377534166055578,0.032781550877312784,-0.01515372532390456,0.035557742035161766,true,0.005395268534196916,2.9108922556095336e-5,true,true,false,false,0.11666666666666667,0.7246258827475491,0.010202008355637815,0.011520174755960734,9.213116380912822e-15,5.811323644522304e-16
micro_randomized_wcls,21,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.0046311712357688445,0.015143180984762715,0.01493687630920784,-0.01413309658128465,0.04441945855081008,-0.017732662109928098,0.04801902407945353,true,0.01051200974899387,0.00011050234896294215,true,true,false,false,0.11791666666666667,0.7428988451213273,0.015143180984771888,0.01493687630920735,9.173217740965356e-15,4.891920202254596e-16
micro_randomized_wcls,21,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.0046311712357688445,0.012757619713530937,0.014301982836837824,-0.015274266646671197,0.04078950607373307,-0.01872083227023442,0.04423607169729629,true,0.008126448477762092,6.603916486172182e-5,true,true,false,false,0.11791666666666667,0.7428988451213273,0.01275761971354002,0.014301982836837483,9.083012120214562e-15,3.41740524767431e-16
micro_randomized_wcls,22,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.005144258807609725,-0.0111551260145666,0.012497749084292823,-0.035650714219780534,0.013340462190647336,-0.038662486283643965,0.016352234254510763,true,-0.016299384822176324,0.0002656699455813919,true,true,false,false,0.11416666666666667,0.7301463177337357,-0.011155126014556635,0.012497749084292716,9.96425164601078e-15,1.0755285551056204e-16
micro_randomized_wcls,22,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.005144258807609725,-0.011572843909967215,0.011993610528329505,-0.035080320545493045,0.011934632725558614,-0.03797060269873928,0.014824914878804853,true,-0.01671710271757694,0.0002794615232700183,true,true,false,false,0.11416666666666667,0.7301463177337357,-0.011572843909957232,0.011993610528329071,9.983333604246525e-15,4.3368086899420177e-16
micro_randomized_wcls,23,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.005115766310659365,-0.0004449388209117538,0.015385099448793042,-0.030599733740546115,0.029709856098722606,-0.03430731439423928,0.03341743675241577,true,-0.0055607051315711194,3.092144156028138e-5,true,true,false,false,0.10666666666666667,0.6900338689294911,-0.00044493882090280534,0.015385099448792685,8.948462630609111e-15,3.5735303605122226e-16
