replication,learner_family,scheduler_family,n_stages,n_participants,n_items,failure_rate,estimator,estimate,standard_error,ci_low,ci_high,converged,truth,bias,squared_error,covered,sign_error
9,RL,RL,2,30,40,0.12291666666666666,naive,-0.27821759521368966,0.06904101155551041,-0.4135379778624901,-0.14289721256488924,True,0.20924787148535662,-0.4874654666990463,0.237622581224119,False,True
9,RL,RL,2,30,40,0.12291666666666666,state_RL,0.10684708284547835,0.081233407312401,-0.052370395486827606,0.2660645611777843,True,0.20924787148535662,-0.10240078863987827,0.010485921514069022,True,False
9,RL,RL,2,30,40,0.12291666666666666,state_Bayesian,0.0999186705231014,0.0804033949181395,-0.057671983516452016,0.2575093245626548,True,0.20924787148535662,-0.10932920096225522,0.011952874183045189,True,False
9,RL,RL,2,30,40,0.12291666666666666,dual_RL_RL,0.13435142350085627,0.09837308243817028,-0.05845981807795747,0.32716266507967,True,0.20924787148535662,-0.07489644798450035,0.005609477920694966,True,False
9,RL,RL,2,30,40,0.12291666666666666,dual_RL_Bayesian,0.12516453062938337,0.0971139059713459,-0.0651787250744546,0.31550778633322135,True,0.20924787148535662,-0.08408334085597324,0.007070008209501779,True,False
9,RL,RL,2,30,40,0.12291666666666666,dual_Bayesian_RL,0.13469726796181408,0.09832845986109791,-0.05802651336593781,0.32742104928956595,True,0.20924787148535662,-0.07455060352354254,0.005557792485724433,True,False
9,RL,RL,2,30,40,0.12291666666666666,dual_Bayesian_Bayesian,0.12425223763289046,0.09697773654440296,-0.06582412599413935,0.3143286012599203,True,0.20924787148535662,-0.08499563385246615,0.0072242577739824905,True,False
9,RL,RL,2,30,40,0.12291666666666666,logged_plan_RL,0.11600291313461998,0.10355228016522654,-0.08695955598922402,0.318965382258464,True,0.20924787148535662,-0.09324495835073664,0.00869462225783061,True,False
9,RL,RL,2,30,40,0.12291666666666666,logged_plan_Bayesian,0.11614730184397182,0.10341712018286807,-0.0865502537144496,0.3188448574023932,True,0.20924787148535662,-0.0931005696413848,0.008667716067550341,True,False
9,RL,RL,2,30,40,0.12291666666666666,oracle,0.19537981353242886,0.08371197787227493,0.031304336902770014,0.3594552901620877,True,0.20924787148535662,-0.013868057952927754,0.00019232303138576272,True,False
10,RL,RL,2,30,40,0.11375,naive,-0.13896632818912422,0.06611273267658804,-0.26854728423523677,-0.009385372143011661,True,0.20384337565123142,-0.34280970384035564,0.11751849304711234,False,True
10,RL,RL,2,30,40,0.11375,state_RL,0.20283364228994397,0.07727534496662462,0.05137396615535972,0.3542933184245282,True,0.20384337565123142,-0.001009733361287457,1.0195614608968663e-06,True,False
10,RL,RL,2,30,40,0.11375,state_Bayesian,0.20521621850969374,0.07779276792122677,0.05274239338408926,0.3576900436352982,True,0.20384337565123142,0.0013728428584623142,1.8846975140309777e-06,True,False
10,RL,RL,2,30,40,0.11375,dual_RL_RL,0.2787921017576316,0.08563575985256984,0.11094601244659469,0.4466381910686685,True,0.20384337565123142,0.07494872610640016,0.005617311544972189,True,False
10,RL,RL,2,30,40,0.11375,dual_RL_Bayesian,0.28377804709877374,0.08575323439859407,0.11570170767752935,0.45185438652001814,True,0.20384337565123142,0.07993467144754232,0.006389551699426538,True,False
