calibration_rank,replication,n_participants,n_items,n_stages,adaptivity,natural_deviation_sd,outcome_intercept,state_reliability,failure_rate,planned_actual_spearman,estimator,estimate,standard_error,ci_low,ci_high,converged,truth,bias,squared_error,covered,sign_error
1,8,12,100,2,0.75,0.5,-2.4,0.8,0.115,0.8159446512056686,schedule_conditioned,0.1581450140417472,0.139332941684455,-0.1149475516597846,0.431237579743279,true,0.22499454472696892,-0.06684953068522173,0.004468859752834402,true,false
1,8,12,100,2,0.75,0.5,-2.4,0.8,0.115,0.8159446512056686,oracle,0.18019542067122585,0.12621227704350246,-0.06718064233403898,0.42757148367649067,true,0.22499454472696892,-0.04479912405574307,0.0020069615161618574,true,false
1,9,12,100,2,0.75,0.5,-2.4,0.8,0.10875,0.860401946250338,naive,-0.38259683093274993,0.071200080470859,-0.5221489886556336,-0.24304467320986628,true,0.25966585780954266,-0.6422626887422926,0.4125013613504791,false,true
1,9,12,100,2,0.75,0.5,-2.4,0.8,0.10875,0.860401946250338,history,0.05995859641324387,0.10376136888931996,-0.14341368660982323,0.263330879436311,true,0.25966585780954266,-0.1997072613962988,0.03988299025440962,true,false
1,9,12,100,2,0.75,0.5,-2.4,0.8,0.10875,0.860401946250338,schedule_conditioned,0.35368945799071905,0.12932741221674224,0.10020773004590428,0.6071711859355338,true,0.25966585780954266,0.09402360018117639,0.008840437391029713,true,false
1,9,12,100,2,0.75,0.5,-2.4,0.8,0.10875,0.860401946250338,oracle,0.3295423541797394,0.11295045297540934,0.1081594663479371,0.5509252420115418,true,0.25966585780954266,0.06987649637019677,0.004882724744974123,true,false
1,10,12,100,2,0.75,0.5,-2.4,0.8,0.09958333333333333,0.8280761376868294,naive,-0.3383749250995275,0.04354064890140312,-0.4237145969462776,-0.25303525325277737,true,0.2371089339193553,-0.5754838590188828,0.33118167199126536,false,true
1,10,12,100,2,0.75,0.5,-2.4,0.8,0.09958333333333333,0.8280761376868294,history,0.029442878144722788,0.06559324486916741,-0.09911988179884534,0.15800563808829093,true,0.2371089339193553,-0.2076660557746325,0.04312519072099278,false,false
1,10,12,100,2,0.75,0.5,-2.4,0.8,0.09958333333333333,0.8280761376868294,schedule_conditioned,0.23730898913724977,0.1625784680525715,-0.0813448082457904,0.55596278652029,true,0.2371089339193553,0.00020005521789445702,4.0022090206798675e-8,true,false
1,10,12,100,2,0.75,0.5,-2.4,0.8,0.09958333333333333,0.8280761376868294,oracle,0.20913311156592493,0.13661716107670427,-0.05863652414441542,0.47690274727626525,true,0.2371089339193553,-0.02797582235343038,0.0007826466363506949,true,false
1,11,12,100,2,0.75,0.5,-2.4,0.8,0.09083333333333334,0.8486873504665539,naive,-0.20787412470544117,0.05246065507413538,-0.3106970086507465,-0.10505124076013583,true,0.2467083475837682,-0.45458247228920934,0.20664522411256978,false,true
1,11,12,100,2,0.75,0.5,-2.4,0.8,0.09083333333333334,0.8486873504665539,history,-0.02250039294872067,0.09693210616041736,-0.2124873210231387,0.16748653512569736,true,0.2467083475837682,-0.2692087405324889,0.07247334597908893,false,true
1,11,12,100,2,0.75,0.5,-2.4,0.8,0.09083333333333334,0.8486873504665539,schedule_conditioned,0.18723459890415933,0.10863780099964963,-0.02569549105515395,0.4001646888634726,true,0.2467083475837682,-0.05947374867960886,0.0035371267820052768,true,false
1,11,12,100,2,0.75,0.5,-2.4,0.8,0.09083333333333334,0.8486873504665539,oracle,0.16403337482432157,0.09625246721230556,-0.024621460911797316,0.3526882105604404,true,0.2467083475837682,-0.08267497275944663,0.0068351511207752425,true,false
1,12,12,100,2,0.75,0.5,-2.4,0.8,0.08166666666666667,0.829605796806562,naive,-0.1618968969062327,0.06787483289338092,-0.2949315693772593,-0.028862224435206113,true,0.23464397205610849,-0.3965408689623412,0.15724466075740864,false,true
1,12,12,100,2,0.75,0.5,-2.4,0.8,0.08166666666666667,0.829605796806562,history,0.1901188092969043,0.11332791811982931,-0.032003910217961146,0.4122415288117698,true,0.23464397205610849,-0.04452516275920418,0.0019824901187336227,true,false
1,12,12,100,2,0.75,0.5,-2.4,0.8,0.08166666666666667,0.829605796806562,schedule_conditioned,0.41553121284442307,0.17127019441259006,0.07984163179574655,0.7512207938930996,true,0.23464397205610849,0.18088724078831458,0.0327201938800097,true,false
1,12,12,100,2,0.75,0.5,-2.4,0.8,0.08166666666666667,0.829605796806562,oracle,0.4290854393062572,0.1329584000964634,0.16848697511718896,0.6896839034953255,true,0.23464397205610849,0.19444146725014871,0.037807484186390655,true,false
1,13,12,100,2,0.75,0.5,-2.4,0.8,0.09375,0.8139351109262345,naive,-0.24328370663535062,0.08011034764975326,-0.400299988028867,-0.08626742524183423,true,0.22332812506560212,-0.4666118317009528,0.21772660148331827,false,true
1,13,12,100,2,0.75,0.5,-2.4,0.8,0.09375,0.8139351109262345,history,-0.03488395824211729,0.09090609660583755,-0.2130599075895589,0.1432919911053243,true,0.22332812506560212,-0.2582120833077194,0.06667347996611261,false,true
1,13,12,100,2,0.75,0.5,-2.4,0.8,0.09375,0.8139351109262345,schedule_conditioned,0.07759774775782205,0.12718574184523918,-0.17168630625884673,0.32688180177449083,true,0.22332812506560212,-0.14573037730778007,0.02123734287026794,true,false
1,13,12,100,2,0.75,0.5,-2.4,0.8,0.09375,0.8139351109262345,oracle,0.025251522829299922,0.1061237440265908,-0.18275101546281805,0.23325406112141792,true,0.22332812506560212,-0.1980766022363022,0.039234340353478274,true,false
