study,replication,n_participants,n_items,n_stages,context_strength,proxy_r2_target,proxy_r2_realized,estimator,truth,estimate,standard_error,normal_ci_low,normal_ci_high,participant_t_ci_low,participant_t_ci_high,converged,bias,squared_error,normal_covered,participant_t_covered,sign_error,failure_rate,planned_actual_spearman
context_proxy,1,30,100,2,1.0,0.25,0.2499999999999979,oracle,0.2575822458983886,0.26680450220026264,0.08689799065333555,0.09648444051972496,0.43712456388080034,0.08907815587429022,0.44453084852623503,true,0.009222256301874066,8.505001129745591e-5,true,true,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,0.5,0.49999999999999883,plan_conditioned,0.2575822458983886,0.8997142475723744,0.06205945230156688,0.7780777210613034,1.0213507740834455,0.7727884161506893,1.0266400789940595,true,0.6421320016739858,0.41233350757383963,false,false,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,0.5,0.49999999999999883,plan_plus_proxy,0.2575822458983886,0.6646738568987771,0.06614612477697783,0.5350274523359005,0.7943202614616537,0.5293898417926937,0.7999578720048606,true,0.40709161100038854,0.16572357974689167,false,false,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,0.5,0.49999999999999883,oracle,0.2575822458983886,0.26680450220026264,0.08689799065333555,0.09648444051972496,0.43712456388080034,0.08907815587429022,0.44453084852623503,true,0.009222256301874066,8.505001129745591e-5,true,true,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,0.75,0.7499999999999915,plan_conditioned,0.2575822458983886,0.8997142475723744,0.06205945230156688,0.7780777210613034,1.0213507740834455,0.7727884161506893,1.0266400789940595,true,0.6421320016739858,0.41233350757383963,false,false,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,0.75,0.7499999999999915,plan_plus_proxy,0.2575822458983886,0.5037707799320994,0.07308105789849076,0.3605319064510575,0.6470096534131413,0.3543032340396898,0.653238325824509,true,0.24618853403371083,0.060608794289667596,false,false,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,0.75,0.7499999999999915,oracle,0.2575822458983886,0.26680450220026264,0.08689799065333555,0.09648444051972496,0.43712456388080034,0.08907815587429022,0.44453084852623503,true,0.009222256301874066,8.505001129745591e-5,true,true,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,1.0,1.0000000000000004,plan_conditioned,0.2575822458983886,0.8997142475723744,0.06205945230156688,0.7780777210613034,1.0213507740834455,0.7727884161506893,1.0266400789940595,true,0.6421320016739858,0.41233350757383963,false,false,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,1.0,1.0000000000000004,plan_plus_proxy,0.2575822458983886,0.30685982094950826,0.08866148604785694,0.13308330829570866,0.4806363336033078,0.12552672156889616,0.48819292033012035,true,0.04927757505111968,0.002428279402918733,true,true,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,1.0,1.0000000000000004,oracle,0.2575822458983886,0.26680450220026264,0.08689799065333555,0.09648444051972496,0.43712456388080034,0.08907815587429022,0.44453084852623503,true,0.009222256301874066,8.505001129745591e-5,true,true,false,0.1055,0.7612404251455673
context_proxy,2,30,100,2,1.0,0.0,1.4960816905751004e-35,plan_conditioned,0.24554808710135406,0.6246183049456009,0.057469628006721694,0.5119778340524264,0.7372587758387754,0.507079718223914,0.7421568916672878,true,0.3790702178442468,0.14369423005648474,false,false,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,0.0,1.4960816905751004e-35,plan_plus_proxy,0.24554808710135406,0.6229104015491017,0.05720666759147941,0.5107853330698021,0.7350354700284013,0.5059096292633758,0.7399111738348276,true,0.37736231444774765,0.14240231636536077,false,false,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,0.0,1.4960816905751004e-35,oracle,0.24554808710135406,0.2555300966065437,0.07238138466219134,0.11366258266864868,0.3973976105444387,0.10749354315682058,0.4035666500562668,true,0.009982009505189626,9.964051376169604e-5,true,true,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,0.25,0.2500000000000032,plan_conditioned,0.24554808710135406,0.6246183049456009,0.057469628006721694,0.5119778340524264,0.7372587758387754,0.507079718223914,0.7421568916672878,true,0.3790702178442468,0.14369423005648474,false,false,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,0.25,0.2500000000000032,plan_plus_proxy,0.24554808710135406,0.5830170092231984,0.06536636142705274,0.4548989408261751,0.7111350776202218,0.44932778923423045,0.7167062292121664,true,0.3374689221218444,0.11388527339807947,false,false,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,0.25,0.2500000000000032,oracle,0.24554808710135406,0.2555300966065437,0.07238138466219134,0.11366258266864868,0.3973976105444387,0.10749354315682058,0.4035666500562668,true,0.009982009505189626,9.964051376169604e-5,true,true,false,0.1105,0.7383583067321752
context_proxy,2,30,100,2,1.0,0.5,0.5000000000000014,plan_conditioned,0.24554808710135406,0.6246183049456009,0.057469628006721694,0.5119778340524264,0.7372587758387754,0.507079718223914,0.7421568916672878,true,0.3790702178442468,0.14369423005648474,false,false,false,0.1105,0.7383583067321752
