participant_code,card_code,study_day,daily_review_index,first_ease,last_ease,last_scheduled_interval_days,next_gap_days,next_first_ease,scheduler_encoding
P02,C014,1,1,2,3,1.0,1.0523363888888888,2.0,mixed
P02,C014,2,2,2,2,8.0,7.662859456018519,1.0,mixed
P02,C014,10,3,1,1,0.0069444444444444,2.0095339814814817,2.0,mixed
P02,C015,1,1,1,3,1.0,1.0610077546296297,2.0,mixed
P02,C015,2,2,2,2,2.0,1.691132326388889,4.0,mixed
P02,C016,1,1,2,3,1.0,1.047100625,2.0,mixed
P02,C016,2,2,2,2,8.0,7.667358136574074,2.0,mixed
P02,C017,1,1,1,3,1.0,1.0590969328703703,4.0,mixed
P02,C017,2,2,4,4,9.0,8.694903958333335,2.0,mixed
P02,C018,1,1,2,3,1.0,1.070495451388889,4.0,mixed
P02,C018,2,2,4,4,12.0,11.619249583333334,2.0,mixed
P02,C019,1,1,1,3,1.0,1.0658463425925926,2.0,mixed
P02,C019,2,2,2,2,2.0,1.6852200578703704,2.0,mixed
P02,C019,4,3,2,2,5.0,4.955689293981481,2.0,mixed
P02,C020,1,1,2,3,1.0,1.0453042361111111,2.0,mixed
P02,C020,2,2,2,2,7.0,6.662035358796296,4.0,mixed
P02,C021,2,1,1,3,1.0,1.1591103703703705,2.0,mixed
P02,C021,3,2,2,2,2.0,1.5233952083333333,2.0,mixed
P02,C021,5,3,2,2,6.0,6.021721400462963,1.0,mixed
P02,C021,11,4,1,1,0.0069444444444444,0.970481273148148,3.0,mixed
P02,C021,12,5,3,3,2.0,1.9670814699074075,3.0,mixed
P02,C022,2,1,1,3,1.0,1.1614791319444444,2.0,mixed
P02,C022,3,2,2,2,4.0,3.524294907407408,4.0,mixed
P02,C023,2,1,1,3,1.0,1.1227956828703705,1.0,mixed
P02,C023,3,2,1,1,0.0069444444444444,1.5710537268518516,4.0,mixed
P02,C023,5,3,4,4,7.0,6.977565613425926,3.0,mixed
P02,C024,2,1,2,4,6.0,5.628674652777778,3.0,mixed
P02,C025,2,1,2,4,5.0,4.676066284722222,2.0,mixed
